312,SOP,35.24,-79.3887958
313,PIT,40.49,-80.232872
314,PIH,42.91,-112.596
315,PNC,36.73,-97.099781
316,PWM,43.65,-70.309281
317,PDX,45.59,-122.5975
318,PSM,43.08,-70.8233
319,PRC,34.65,-112.419583
320,PQI,46.69,-68.044797
321,PVD,41.73,-71.420383
322,PVC,42.07,-70.22139
323,PUB,38.29,-104.496572
324,PUW,46.74,-117.109583
325,UIN,39.94,-91.1946
326,RDU,35.88,-78.787472
327,RAP,44.05,-103.057222
328,RDD,40.51,-122.293389
329,RDM,44.25,-121.149964
330,RNO,39.5,-119.768108
331,RHI,45.63,-89.4675
332,RIC,37.51,-77.319667
333,RIW,43.06,-108.459722
334,ROA,37.33,-79.975417
335,RST,43.91,-92.500014
336,ROC,43.12,-77.672389
337,RKS,41.59,-109.065
338,RFD,42.2,-89.0972222
339,RKD,44.06,-69.0992303
340,ROW,33.3,-104.530556
341,RUT,43.53,-72.9496
342,SMF,38.7,-121.590778
343,MBS,43.53,-84.079647
344,SLN,38.79,-97.6522
345,SPY,4.75,-6.660817
346,SLC,40.79,-111.977772
347,SJT,31.36,-100.496306
348,SAT,29.53,-98.469778
349,SAN,32.73,-117.189667
350,QSF,36.18,5.32449
351,SFO,37.62,-122.374889
352,SJC,37.36,-121.929022
353,SBP,35.24,-120.642
354,SDP,55.32,-160.523
355,SBA,34.43,-119.840372
356,SAF,35.62,-106.089422
357,SMX,34.9,-120.457
358,STS,38.51,-122.81288
359,SLK,44.39,-74.2062
360,SRQ,27.4,-82.554389
361,CIU,46.25,-84.4724
362,SAV,32.13,-81.202139
363,BFF,41.87,-103.596
364,SEA,47.45,-122.309306
365,SHD,38.26,-78.896389
366,SHR,44.77,-106.98
367,SHV,32.45,-93.8256
368,SDY,47.71,-104.1925
369,SVC,32.64,-108.156
370,SUX,42.4,-96.384367
371,FSD,43.58,-96.741914
372,SIT,57.05,-135.361611
373,SGY,59.46,-135.316
374,SBN,41.71,-86.31725
375,GEG,47.62,-117.533833
376,SPI,39.84,-89.677889
377,CEF,42.19,-72.534783
378,SGF,37.25,-93.388639
379,VSF,43.34,-72.517222
380,STC,45.55,-94.059889
381,SGU,37.09,-113.593056
382,STL,38.75,-90.370028
383,PIE,27.91,-82.687389
384,SCE,40.85,-77.848694
385,SBS,40.52,-106.8663056
386,SUN,43.5,-114.296194
387,SRY,36.64,53.193611
388,TLH,30.4,-84.350333
389,TPA,27.98,-82.53325
390,TXK,33.45,-93.991028
391,TVF,48.07,-96.185
392,OOK,60.54,-165.087222
393,TOL,41.59,-83.807833
394,TOP,39.07,-95.622482
395,TVC,44.74,-85.582235
396,TTN,40.28,-74.813469
397,TUS,32.12,-110.941028
398,TUL,36.2,-95.888111
399,TUP,34.27,-88.7699
400,TWF,42.48,-114.487733
401,TYR,32.35,-95.402386
402,UNK,63.89,-160.798889
403,EGE,39.64,-106.917694
404,VDZ,61.13,-146.248342
405,VLD,30.78,-83.2767
406,VCT,28.85,-96.9185
407,VIS,36.32,-119.392778
408,ACT,31.61,-97.230519
409,ALW,46.09,-118.288
410,DCA,38.85,-77.037722
411,WAS,38.89,-77.035278
412,IAD,38.94,-77.455811
413,ALO,42.56,-92.4003
414,ART,43.99,-76.021739
415,ATY,44.91,-97.1547
416,CWA,44.77,-89.646635
417,EAT,47.4,-120.206
418,PBI,26.68,-80.095589
419,WYS,44.69,-111.1175
420,HPN,41.07,-73.707575
421,SPS,33.99,-98.491894
422,ICT,37.65,-97.433056
423,AVP,41.34,-75.723403
424,IPT,41.24,-76.921094
425,ISN,48.18,-103.642347
426,ILG,39.68,-75.606528
427,ILM,34.27,-77.902569
428,OLF,48.09,-105.575
429,WRL,43.97,-107.951
430,WRG,56.48,-132.37
431,YKM,46.57,-120.544
432,YAK,59.3,-139.3937
433,YUM,32.66,-114.60598
434,YXX,49.03,-122.360556
435,YAA,52.45,-125.303
436,YEK,61.09,-94.070833
437,YBG,48.33,-70.996391
438,YYC,51.11,-114.020278
439,YBL,49.95,-125.270833
440,YGR,47.42,-61.778056
441,YCG,49.3,-117.6325
442,YYG,46.29,-63.121111
443,YMT,49.77,-74.5281
444,YYQ,58.74,-94.065
445,YXC,49.61,-115.781944
446,YDF,49.21,-57.391388
447,YHD,49.83,-92.744167
448,YEG,53.31,-113.579722
449,YEO,51.01,-2.638819
450,YMM,56.65,-111.221944
451,YYE,58.84,-122.596944
452,YXJ,56.24,-120.740278
453,YSM,60.02,-111.961944
454,YFC,45.87,-66.537222
455,YQX,48.94,-54.568056
456,YGP,48.78,-64.478611
457,YQU,55.18,-118.885
458,YHZ,44.88,-63.50861
459,YHM,43.17,-79.935
460,YFB,63.76,-68.555832
461,YKA,50.7,-120.444444
462,YLW,49.96,-119.377778
463,YQK,49.79,-94.363056
464,YGK,44.23,-76.596944
465,YQL,49.63,-112.799722
466,YXU,43.03,-81.151111
467,YXH,50.02,-110.720833
468,YQM,46.11,-64.678611
469,YYY,48.61,-68.208056
470,YMQ,45.51,-73.553889
471,YUL,45.47,-73.740833
472,YCD,49.05,-123.870167
473,YYB,46.36,-79.422778
474,YOW,45.32,-75.669167
475,YYF,49.46,-119.602222
476,YZT,50.68,-127.366667
477,YPW,49.83,-124.5
478,YPR,54.29,-130.444722
479,YQB,46.79,-71.393333
480,YQZ,53.03,-122.510278
481,YRT,62.81,-92.115833
482,YRL,51.07,-93.7931
483,YQR,50.43,-104.665833
484,YRJ,48.52,-72.265556
485,YUY,48.21,-78.835556
486,YSJ,45.32,-65.890278
487,YZP,53.25,-131.813833
488,YZR,43,-82.308889
489,YXE,52.17,-106.699722
490,YAM,46.49,-84.509445
491,YZV,50.22,-66.265556
492,YXL,50.11,-91.905278
493,YYD,54.82,-127.182778
494,YYT,47.62,-52.751945
495,YSB,46.63,-80.798889
496,YQY,46.16,-60.047779
497,YXT,54.47,-128.576219
498,YTH,55.8,-97.864166
499,YQT,48.37,-89.323889
500,YTS,48.57,-81.376667
501,YYZ,43.68,-79.630556
502,YTO,43.65,-79.383056
503,YTZ,43.63,-79.396167
504,YVO,48.05,-77.782778
505,YVR,49.19,-123.184444
506,YYJ,48.65,-123.425833
507,YWK,52.92,-66.864444
508,YXY,60.71,-135.067269
509,YWL,52.18,-122.054167
510,YQG,42.28,-82.955556
511,YWG,49.91,-97.239886
512,YZF,62.46,-114.440278
513,LAX,33.94,-118.408075
